,participant,gof,name
0,0_epo,0.00047975344245884964,linear
1,10_epo,0.000525155353887332,linear
2,11_epo,0.00037232169966162297,linear
3,12_epo,0.0011099852046022975,linear
4,13_epo,0.0006402579016108112,linear
5,14_epo,0.00047194196761878027,linear
6,15_epo,0.0005002910093363284,linear
7,16_epo,0.0005430332850402914,linear
8,17_epo,0.00026456757305191273,linear
9,18_epo,0.0007058942031633406,linear
10,19_epo,0.0003030096618304505,linear
11,1_epo,0.0005653107976829642,linear
12,20_epo,0.0005426577810597673,linear
13,21_epo,0.00039920677233547654,linear
14,22_epo,0.0006209290202729907,linear
15,23_epo,0.000767598241440246,linear
16,24_epo,0.0006415666505002064,linear
17,25_epo,0.0005336990848538774,linear
18,2_epo,0.0005164070099777358,linear
19,3_epo,0.000636720375920931,linear
20,4_epo,0.0005611304182390173,linear
21,5_epo,0.0005768058318166654,linear
22,6_epo,0.00041525012753105823,linear
23,7_epo,0.0007478338207420371,linear
24,8_epo,0.0004314407605792916,linear
25,9_epo,0.0005326038736287753,linear
